page_id,page_title,view_count,protection_status,page_length,edit_count,page_watchers,page_watchers_recent_edits,page_views_past_30days,page_id_scrapped,redirects,recent_number_of_edits,number_distinct_authors,number_categories
50537912,2016_Stanley_Cup_finals,1015,sysop,,,,,,,,,,
46633273,2015_Stanley_Cup_finals,1238,sysop,,,,,,,,,,
50537916,2016_stanley_cup_finals,2007,sysop,,,,,,,,,,
39323133,2013_stanley_cup_finals,2048,sysop,,,,,,,,,,
42486165,2014_Stanley_Cup_finals,851,sysop,,,,,,,,,,
16514490,Stephen Hoar,4943,unprotected,,,,,,,,,,
50537913,2016_stanley_cup_final,1212,sysop,,,,,,,,,,
42486166,2014_stanley_cup_final,984,sysop,,,,,,,,,,
22358273,Mesohibolites,2748,unprotected,,,,,,,,,,
19518467,Huntoon Mountains,3521,unprotected,,,,,,,,,,
39323148,2013_Stanley_Cup_finals,1433,sysop,,,,,,,,,,
46633271,2015_stanley_cup_finals,2310,sysop,,,,,,,,,,
38309501,List of theatres in Serbia,8509,unprotected,,,,,,,,,,
60583939,2019_stanley_cup_final,935,sysop,,,,,,,,,,
15451465,Jonathan Bliss,7986,unprotected,,,,,,,,,,
5172501,Tactile corpuscles of Grandry,5321,unprotected,,,,,,,,,,
17797986,1952_raid_on_Beit_Jala,5428,extendedconfirmed,,,,,,,,,,
60231218,2019_Tel_Aviv_rocket_strike,37221,extendedconfirmed,,,,,,,,,,
28971991,Forest Fire Lookout Association,7553,unprotected,,,,,,,,,,
8998584,Cack,12911,sysop,,,,,,,,,,
8035336,Wig wag (truck braking systems),45452,unprotected,,,,,,,,,,
41511721,Mudar Zahran,62728,extendedconfirmed,,,,,,,,,,
17144344,German occupation of Estonia during World War I,45499,unprotected,,,,,,,,,,
649497,Ten High,66388,unprotected,,,,,,,,,,
32289827,The Gravy Train,56091,unprotected,,,,,,,,,,
14874715,NFIA,34819,unprotected,,,,,,,,,,
48598769,2015_Gush_Etzion_Junction_attack,12825,extendedconfirmed,,,,,,,,,,
5508002,New World crops,442438,unprotected,,,,,,,,,,
22187225,Parallelura,2717,unprotected,,,,,,,,,,
63855993,2020_coronavirus_pandemic_in_the_Republic_of_Artsakh,17526,extendedconfirmed,,,,,,,,,,
18560408,Mulock Inlet,3180,unprotected,,,,,,,,,,
44953578,Mabuti Potloane,5764,unprotected,,,,,,,,,,
35553781,Robert Stanton Avery,3893,unprotected,,,,,,,,,,
23335011,The Mumbai Xpress,4988,unprotected,,,,,,,,,,
35883126,Kristina Bergstrand,4395,unprotected,,,,,,,,,,
20042982,Gil Marquez,4763,unprotected,,,,,,,,,,
45704583,Altounyan,3211,unprotected,,,,,,,,,,
16623945,SS Potsdam,5496,unprotected,,,,,,,,,,
42854546,Cankle,29791,extendedconfirmed,,,,,,,,,,
8979715,Bolt (comics),28754,unprotected,,,,,,,,,,
27166824,Echoes of Valor,8924,unprotected,,,,,,,,,,
50330064,Jane Ward (volleyball),6014,unprotected,,,,,,,,,,
19318807,Éon de l'Étoile,9604,unprotected,,,,,,,,,,
29518238,2010 New York City Marathon,18973,unprotected,,,,,,,,,,
11900591,German settlements in the Riverina,10481,unprotected,,,,,,,,,,
5291226,Roberval and Saguenay Railway,17352,unprotected,,,,,,,,,,
994697,The Sunday Format,15807,unprotected,,,,,,,,,,
65746765,2020_Tablighi_Jamaat_coronavirus_hotspot_in_Delhi,232767,extendedconfirmed,,,,,,,,,,
18131480,WIZZ,18846,unprotected,,,,,,,,,,
